epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.25153031945228577,0.5062271952629089,0.36157989501953125,0.24914675951004028,0.1218697801232338,0.22265625,0.4779631495475769,0.19950205087661743,0.0,0.0
1,0.3155258893966675,0.5801634788513184,0.30424028635025024,0.3219567835330963,0.15748469531536102,0.283203125,0.5549850463867188,0.18802107870578766,0.0,0.0
2,0.38397330045700073,0.6431523561477661,0.2789229154586792,0.4180161952972412,0.22982749342918396,0.478515625,0.6903483271598816,0.1633666753768921,0.6666666865348816,0.0234375
3,0.4284919202327728,0.6907123923301697,0.25012072920799255,0.48725488781929016,0.2765720784664154,0.53515625,0.7715015411376953,0.14061743021011353,0.8235294222831726,0.1640625
4,0.48302727937698364,0.7343605756759644,0.23076072335243225,0.5538735389709473,0.34613245725631714,0.5546875,0.8114433884620667,0.12818175554275513,0.8030303120613098,0.310546875
5,0.4880356192588806,0.748383104801178,0.21852141618728638,0.5678346753120422,0.35169726610183716,0.59765625,0.8383413553237915,0.12047829478979111,0.7599999904632568,0.408203125
6,0.5147467851638794,0.778722882270813,0.19157172739505768,0.59278804063797,0.3750695586204529,0.619140625,0.855012834072113,0.11960351467132568,0.7423312664031982,0.47265625
7,0.544796884059906,0.7901529669761658,0.1888766586780548,0.6069263815879822,0.3900946080684662,0.654296875,0.8767267465591431,0.11124042421579361,0.756373941898346,0.521484375
8,0.5548135638237,0.8058387041091919,0.17719101905822754,0.6474137902259827,0.41791874170303345,0.654296875,0.8889173865318298,0.10694434493780136,0.765333354473114,0.560546875
9,0.5486922860145569,0.7991104125976562,0.17996664345264435,0.6366024613380432,0.40456315875053406,0.6796875,0.897040069103241,0.10350941866636276,0.768831193447113,0.578125
10,0.5826377272605896,0.8244271874427795,0.16366703808307648,0.6887755393981934,0.45075124502182007,0.728515625,0.9160073399543762,0.08787334710359573,0.8100264072418213,0.599609375
11,0.5904284715652466,0.8332581520080566,0.15566185116767883,0.7008620500564575,0.452420711517334,0.763671875,0.9323208928108215,0.07628273218870163,0.8479999899864197,0.62109375
12,0.5792988538742065,0.8240034580230713,0.157518208026886,0.6777163743972778,0.40957149863243103,0.73046875,0.921425461769104,0.08196134865283966,0.8283378481864929,0.59375
13,0.6082359552383423,0.8382721543312073,0.15241961181163788,0.7122430801391602,0.44351696968078613,0.732421875,0.9259198904037476,0.07867376506328583,0.8263157606124878,0.61328125
14,0.6099054217338562,0.8386193513870239,0.14791928231716156,0.703180193901062,0.4429605007171631,0.72265625,0.9239730834960938,0.07939223200082779,0.8401083946228027,0.60546875
15,0.6115748286247253,0.8476486802101135,0.1412295699119568,0.7241063117980957,0.43962159752845764,0.7578125,0.9369977116584778,0.0695001631975174,0.8888888955116272,0.59375
16,0.6110183596611023,0.8444733023643494,0.14161564409732819,0.7246925234794617,0.42626598477363586,0.75390625,0.9352759718894958,0.07027345150709152,0.8583106398582458,0.615234375
17,0.6488592028617859,0.8658664226531982,0.1290549337863922,0.7539404630661011,0.47913187742233276,0.771484375,0.9401524662971497,0.0670594796538353,0.8722222447395325,0.61328125
18,0.6182526350021362,0.8516432046890259,0.1390584409236908,0.7367933392524719,0.44240400195121765,0.751953125,0.9392573237419128,0.06749920547008514,0.8845070600509644,0.61328125
19,0.628825843334198,0.8614524006843567,0.13085605204105377,0.7423580884933472,0.4730105698108673,0.78125,0.9455891847610474,0.06413779407739639,0.8921052813529968,0.662109375
20,0.6483027338981628,0.8732402920722961,0.12934568524360657,0.7615838050842285,0.5030606389045715,0.798828125,0.9540194869041443,0.0589139387011528,0.8976377844810486,0.66796875
21,0.6277128458023071,0.862787127494812,0.12826502323150635,0.7550458908081055,0.457985520362854,0.818359375,0.9644152522087097,0.05183446779847145,0.9212598204612732,0.685546875
22,0.6549805402755737,0.8750464916229248,0.12438265234231949,0.7558239698410034,0.4874791204929352,0.826171875,0.9671421647071838,0.05010966211557388,0.9254498481750488,0.703125
23,0.6488592028617859,0.8669912815093994,0.12972919642925262,0.7614125609397888,0.4919309914112091,0.84765625,0.9680150747299194,0.048201821744441986,0.9160305261611938,0.703125
24,0.6438508629798889,0.8789977431297302,0.11781582236289978,0.761742115020752,0.49638286232948303,0.8359375,0.9669285416603088,0.04929136484861374,0.9346733689308167,0.7265625
25,0.6777963042259216,0.8804757595062256,0.11728700995445251,0.7783833146095276,0.4769059419631958,0.837890625,0.9686813950538635,0.047911521047353745,0.9232673048973083,0.728515625
26,0.6688926219940186,0.8878628015518188,0.11468098312616348,0.7725393176078796,0.5197551250457764,0.837890625,0.9709129333496094,0.04584955424070358,0.92665034532547,0.740234375
27,0.6794657707214355,0.8883183598518372,0.1135760098695755,0.7843959927558899,0.5203116536140442,0.841796875,0.9717769622802734,0.044756725430488586,0.9221411347389221,0.740234375
28,0.6761268973350525,0.8876032829284668,0.1159876361489296,0.7931893467903137,0.5314412713050842,0.845703125,0.9722213745117188,0.044358909130096436,0.9221411347389221,0.740234375
29,0.6816917061805725,0.8906171917915344,0.11477738618850708,0.7828894257545471,0.539788544178009,0.84765625,0.9722290635108948,0.04437508434057236,0.9208633303642273,0.75
30,0.6772398352622986,0.8866969347000122,0.11850444227457047,0.7929292917251587,0.5242069959640503,0.857421875,0.9731153249740601,0.043889135122299194,0.9330143332481384,0.76171875
31,0.6822481751441956,0.891863226890564,0.11322325468063354,0.7823240756988525,0.531997799873352,0.857421875,0.9743449091911316,0.04275321960449219,0.9334917068481445,0.767578125
32,0.6878130435943604,0.8952579498291016,0.10740639269351959,0.8073316216468811,0.5269894003868103,0.849609375,0.9730517268180847,0.04383010044693947,0.9241706132888794,0.76171875
33,0.6939343214035034,0.8944251537322998,0.11309891939163208,0.8008403182029724,0.5303283333778381,0.845703125,0.9728559255599976,0.044266410171985626,0.9284009337425232,0.759765625
34,0.6850305795669556,0.8953893184661865,0.1103915199637413,0.7848309874534607,0.5297718644142151,0.85546875,0.9749139547348022,0.04278327152132988,0.9399038553237915,0.763671875
35,0.6811352372169495,0.8903189897537231,0.11332382261753082,0.8056713938713074,0.5375626087188721,0.861328125,0.9768714904785156,0.04123030602931976,0.940191388130188,0.767578125
36,0.6961602568626404,0.9067850112915039,0.1014418751001358,0.8244274854660034,0.5409014821052551,0.859375,0.9767646789550781,0.04124696925282478,0.9424460530281067,0.767578125
37,0.6983861923217773,0.9023717641830444,0.10665491968393326,0.8028053045272827,0.541458010673523,0.849609375,0.9756641387939453,0.041979238390922546,0.9400479793548584,0.765625
38,0.6722314953804016,0.8898760676383972,0.11386673897504807,0.7726523876190186,0.5219810605049133,0.84765625,0.9773356318473816,0.040576446801424026,0.9341176748275757,0.775390625
39,0.6972732543945312,0.9028816223144531,0.10413842648267746,0.8035426735877991,0.555370032787323,0.8515625,0.9782893061637878,0.03971605747938156,0.9317647218704224,0.7734375
40,0.6961602568626404,0.9003281593322754,0.10806428641080856,0.7995188236236572,0.5548135638237,0.857421875,0.9793351292610168,0.03888171538710594,0.9360189437866211,0.771484375
41,0.6972732543945312,0.8981019258499146,0.10842793434858322,0.808474600315094,0.5308848023414612,0.85546875,0.9790573716163635,0.03910745307803154,0.9336493015289307,0.76953125
42,0.6861435770988464,0.8946585655212402,0.1118752658367157,0.7965812087059021,0.5186421871185303,0.859375,0.9792448878288269,0.03892454132437706,0.9338061213493347,0.771484375
43,0.6989426612854004,0.9021782875061035,0.10670939087867737,0.8072696328163147,0.5314412713050842,0.857421875,0.9795462489128113,0.038690123707056046,0.9338061213493347,0.771484375
44,0.6956037878990173,0.8982848525047302,0.1091112494468689,0.8167495727539062,0.5481357574462891,0.857421875,0.979345977306366,0.03877265378832817,0.9295774698257446,0.7734375
45,0.6928213834762573,0.896923303604126,0.11018980294466019,0.7995169162750244,0.552587628364563,0.85546875,0.9798151254653931,0.03841398283839226,0.9297423958778381,0.775390625
46,0.6805787682533264,0.8939852714538574,0.11162631213665009,0.7844898104667664,0.5347802042961121,0.85546875,0.9794540405273438,0.03876489773392677,0.9292452931404114,0.76953125
47,0.6883695125579834,0.8926572799682617,0.11464444547891617,0.7840819358825684,0.5537006258964539,0.85546875,0.980088472366333,0.0381673127412796,0.927570104598999,0.775390625
48,0.7017251253128052,0.9078056812286377,0.1012900173664093,0.8185516595840454,0.5598219037055969,0.857421875,0.9801318049430847,0.038169607520103455,0.9252336621284485,0.7734375
49,0.7022815942764282,0.9021994471549988,0.10575096309185028,0.798695981502533,0.545353353023529,0.857421875,0.9798813462257385,0.0384833961725235,0.929411768913269,0.771484375
